hostname,ip,mac,operating_system,ram_gb,cpu_cores,department,environment,owner
srv-operations-0055,10.72.142.69,22:fa:b0:31:26:1f,Windows Server 2019,32,4,Operations,testing,Arturo de Arranz
srv-it-0056,10.128.188.191,38:1e:fe:14:7e:b5,Ubuntu Server 24.04,8,16,IT,staging,Luisa Rojas Maldonado
srv-management-0057,10.6.192.92,42:b5:bc:59:aa:e6,Windows Server 2019,2,8,Management,development,Nando Pino Duran
srv-finance-0058,10.3.219.16,3a:f3:8b:65:1c:42,Windows Server 2012,8,8,Finance,staging,Roberta de Espejo
srv-operations-0059,10.3.89.213,c8:e2:1f:a3:75:f7,Debian 12,16,8,Operations,staging,Ainara Calvet Carrasco
srv-security-0060,10.139.234.133,4e:9e:38:ae:80:d0,Windows Server 2012,16,2,Security,testing,Basilio Hidalgo Agudo
srv-development-0061,10.146.216.101,84:ce:b6:18:10:13,Windows Server 2019,2,2,Development,testing,Che Orozco Puerta
srv-it-0062,10.237.18.98,66:a3:1d:2a:c8:08,Ubuntu Server 22.04,2,8,IT,staging,Rogelio Vaquero Vigil
srv-finance-0063,10.183.150.57,2a:c4:e7:bd:27:cc,Windows Server 2019,64,16,Finance,development,Andrés Felipe Clemente Benítez
srv-security-0064,10.32.60.92,d6:dd:31:1b:c6:1a,Windows Server 2016,2,4,Security,testing,Maite Maestre Piñeiro
srv-management-0065,10.45.114.122,b4:d1:f9:df:9d:67,Ubuntu Server 24.04,2,4,Management,production,Débora Moles Olivera
srv-finance-0066,10.104.60.222,88:7f:5d:b1:62:24,Windows Server 2016,64,16,Finance,staging,Jose Salvà-Calvo
srv-hr-0067,10.54.120.202,fa:68:d0:41:5c:81,Windows Server 2016,8,2,HR,production,Adalberto de Asensio
srv-it-0068,10.142.175.179,c0:7c:e0:9f:78:a9,Windows Server 2019,2,4,IT,testing,Socorro Susana Casas Valdés
srv-management-0069,10.192.158.128,e0:32:32:d7:d2:51,Windows Server 2019,8,8,Management,staging,Juanita Jódar Pozo
srv-finance-0070,10.197.193.38,d4:21:f2:f9:35:d3,Rocky Linux 9,32,2,Finance,production,Leocadia Alfonso Bayona
srv-hr-0071,10.220.109.97,5a:9c:5c:92:30:62,Rocky Linux 9,16,2,HR,testing,Ani Oliver Valbuena
srv-hr-0072,10.226.167.245,7a:b8:c2:95:c4:38,Windows Server 2016,2,8,HR,staging,Macario Ismael Iglesia Guerrero
srv-finance-0073,10.192.124.120,e2:d5:9f:a5:a7:d7,Windows Server 2022,8,4,Finance,testing,Isabela Porras Asensio
srv-development-0074,10.98.66.218,ea:d5:d4:12:d0:17,Ubuntu Server 22.04,32,4,Development,development,Régulo Navarrete Casado
srv-development-0075,10.215.51.134,f0:04:a2:1c:1f:a7,Windows Server 2016,2,16,Development,testing,Jose Ramón Llano Quiroga
srv-hr-0076,10.168.179.171,1e:c4:f7:e6:4b:c7,Ubuntu Server 24.04,8,16,HR,development,Consuelo Puga-Barrena
srv-management-0077,10.236.105.219,70:c5:66:1b:dc:fe,Windows Server 2019,4,8,Management,production,Danilo de Ribera
srv-management-0078,10.213.101.215,bc:d6:87:7a:5f:8d,Windows Server 2022,8,2,Management,staging,Timoteo Sanchez Tolosa
srv-operations-0079,10.213.82.190,f4:cf:0d:6f:27:4d,Windows Server 2012,2,16,Operations,staging,Paola Nogués Armas
srv-management-0080,10.93.68.190,ae:e0:dd:71:1d:26,Windows Server 2019,2,4,Management,staging,Felicidad del Montesinos
srv-finance-0081,10.164.205.237,d0:2c:d8:66:e3:bf,Debian 12,16,2,Finance,staging,Julio del Solera
srv-operations-0082,10.70.250.182,e6:42:36:69:49:58,Windows Server 2022,4,16,Operations,development,María Ángeles Álvaro Gisbert
srv-management-0083,10.138.33.32,5a:89:c1:e2:5e:aa,Ubuntu Server 22.04,64,8,Management,testing,José Padilla Feijoo
srv-management-0084,10.117.36.35,2e:75:41:01:8d:3e,Windows Server 2022,64,4,Management,staging,Ruperto Ferrández Gisbert
srv-operations-0085,10.240.13.237,80:12:80:a1:3a:39,Rocky Linux 9,8,8,Operations,production,Renato Gabino Espejo Alberto
srv-operations-0086,10.35.82.114,82:68:de:07:8b:65,Ubuntu Server 22.04,8,2,Operations,testing,Fernanda Rebollo Moliner
srv-it-0087,10.138.230.137,32:ad:c2:8b:db:de,Windows Server 2012,4,8,IT,staging,Dolores Nélida Tudela Segura
srv-finance-0088,10.82.0.78,a2:36:84:28:c1:33,Windows Server 2022,32,2,Finance,development,Mayte Caparrós Soriano
srv-finance-0089,10.123.131.21,c0:6a:b8:5d:19:88,Ubuntu Server 22.04,64,8,Finance,development,Gastón Casal Chacón
srv-it-0090,10.2.112.240,16:b7:86:fd:50:bc,Windows Server 2019,4,2,IT,development,Galo Godoy Ramis
srv-finance-0091,10.221.113.147,d8:90:bb:2f:17:51,Ubuntu Server 24.04,64,16,Finance,production,Soraya Gimeno Santamaria
srv-it-0092,10.106.98.66,a4:ac:f5:7a:3a:ed,Debian 12,4,8,IT,testing,Zaida Pedrero-Reguera
srv-development-0093,10.26.221.164,ba:01:e6:2d:e0:8c,Windows Server 2019,4,4,Development,staging,Eulalia Miranda Tello
srv-security-0094,10.124.239.26,6a:50:66:5f:f4:1a,Windows Server 2016,4,8,Security,staging,Rocío Valentín Caro
srv-operations-0095,10.172.28.206,56:89:4b:c2:93:ed,Rocky Linux 9,64,16,Operations,development,Gisela de Pera
srv-it-0096,10.217.130.206,12:5a:ec:e7:fc:ca,Windows Server 2016,16,4,IT,staging,Buenaventura Jurado Escamilla
srv-it-0097,10.231.66.11,7e:68:c6:28:48:24,Windows Server 2016,2,8,IT,development,María Carmen Bernat Santos
srv-operations-0098,10.87.223.114,12:7f:95:42:84:ff,Windows Server 2022,2,2,Operations,development,Aurora Gimeno Cabañas
srv-finance-0099,10.168.1.17,36:ec:33:2e:c8:4a,Windows Server 2016,8,8,Finance,production,Nidia Maldonado
srv-finance-0100,10.49.154.191,a2:e3:af:17:fd:c5,Windows Server 2016,4,8,Finance,staging,Purificación Segura Ariño
srv-operations-0101,10.189.87.41,c2:30:64:80:95:1e,Ubuntu Server 22.04,4,16,Operations,development,Camilo Nadal Ramón
srv-hr-0102,10.174.165.42,c8:04:dc:4c:72:50,Ubuntu Server 24.04,4,16,HR,staging,Óscar Gallart Calleja
srv-development-0103,10.70.49.166,b8:8c:c7:c2:d8:b4,Windows Server 2019,8,2,Development,production,Carolina Martí
srv-development-0104,10.102.32.145,06:db:ac:d9:82:55,Debian 12,64,4,Development,staging,Teófilo Gerónimo Nieto Aguilera
srv-security-0105,10.239.162.38,60:32:0c:51:a7:e2,Ubuntu Server 24.04,32,4,Security,testing,Trini Conesa
srv-management-0106,10.186.8.83,3a:f6:10:fd:e3:b3,Ubuntu Server 22.04,8,4,Management,development,Petrona Domínguez Higueras
srv-management-0107,10.87.224.217,3c:5d:f7:c7:9e:7e,Windows Server 2012,64,16,Management,production,Rosa Cobo Rosales
srv-finance-0108,10.111.32.50,90:ad:ed:4a:c5:42,Rocky Linux 9,16,4,Finance,testing,Iker Noriega-Andrade
srv-management-0109,10.39.235.151,36:5a:4f:d7:58:2a,Windows Server 2016,4,2,Management,production,Wálter Delgado-García
srv-security-0110,10.103.222.141,f8:4e:15:d3:4a:8f,Windows Server 2019,32,2,Security,staging,Mirta Carranza Tejero
srv-operations-0111,10.53.149.5,70:93:58:77:b6:eb,Rocky Linux 9,16,4,Operations,production,Iris Arnaiz Borrás
srv-it-0112,10.227.195.53,10:d8:0c:92:52:f7,Ubuntu Server 24.04,64,4,IT,development,Román Iglesia Gisbert
srv-finance-0113,10.233.4.130,f4:f4:87:82:14:1b,Rocky Linux 9,16,4,Finance,production,Febe Asensio Niño
srv-finance-0114,10.43.62.246,e0:e0:6b:67:ba:18,Windows Server 2019,2,4,Finance,testing,Teófilo de Barral
srv-security-0115,10.155.89.61,12:82:29:84:a0:0b,Windows Server 2016,2,4,Security,development,Beatriz de Cuesta
srv-security-0116,10.122.100.5,62:da:72:9b:d2:09,Windows Server 2019,32,16,Security,development,Emma Domitila Manuel Bonet
srv-operations-0117,10.66.213.247,b4:f8:33:2a:88:51,Ubuntu Server 22.04,64,4,Operations,development,Diego Demetrio Flores Ferrer
srv-operations-0118,10.122.82.37,60:6e:c4:2c:0c:e7,Rocky Linux 9,4,16,Operations,production,Iris Marín Torrents
srv-finance-0119,10.64.182.100,b4:8d:35:db:01:11,Windows Server 2019,2,2,Finance,testing,Jose Angel Mendoza Novoa
srv-hr-0120,10.248.59.83,5c:12:2e:45:2b:96,Rocky Linux 9,32,2,HR,testing,Samuel Benítez Fernandez
srv-development-0121,10.154.41.45,c0:05:0e:15:99:82,Rocky Linux 9,32,2,Development,staging,Benigno Capdevila Monreal
srv-operations-0122,10.13.249.172,4e:65:74:93:bc:db,Windows Server 2012,32,2,Operations,development,Calixta Guardiola
srv-operations-0123,10.244.149.241,40:20:39:32:6e:35,Windows Server 2012,8,8,Operations,staging,Ángel Jódar Busquets
srv-security-0124,10.38.200.139,30:27:2e:6b:98:bc,Rocky Linux 9,32,2,Security,development,Enrique Costa Pizarro
srv-security-0125,10.250.19.234,56:81:14:6f:ef:47,Windows Server 2019,8,8,Security,production,Coral Echeverría Posada
srv-hr-0126,10.59.244.117,4c:7f:db:cc:82:d7,Debian 12,2,4,HR,testing,Nicanor de Aliaga
srv-development-0127,10.73.154.214,6a:a8:56:b1:85:c6,Debian 12,2,2,Development,development,Maxi Aguiló Ramos
srv-it-0128,10.8.174.187,d8:f3:f8:d4:50:7b,Ubuntu Server 24.04,16,8,IT,testing,Ildefonso Iñiguez Morante
srv-operations-0129,10.189.94.128,3c:4c:4f:ed:2e:8a,Windows Server 2019,32,8,Operations,testing,Pastor de Benavides
srv-management-0130,10.20.129.214,6e:c6:d1:ba:b0:62,Windows Server 2016,32,4,Management,staging,Norberto Verdú Muñoz
srv-finance-0131,10.171.198.32,0a:1f:85:e9:b6:25,Rocky Linux 9,32,16,Finance,production,Jose Francisco Mercader Quintero
srv-hr-0132,10.230.254.239,36:50:72:23:91:b3,Windows Server 2019,2,4,HR,development,Vicenta Palomo
srv-it-0133,10.84.57.160,e0:7a:0e:b2:77:ae,Debian 12,2,4,IT,production,Francisco Cañizares Gámez
srv-hr-0134,10.59.241.234,72:3b:fb:14:2e:d8,Windows Server 2022,4,8,HR,development,Elvira Vigil
srv-finance-0135,10.117.94.185,2a:dd:63:55:e3:8f,Windows Server 2022,16,2,Finance,development,Ester Hernandez Ramón
srv-finance-0136,10.41.94.174,a4:3d:40:90:c2:ee,Ubuntu Server 22.04,4,4,Finance,production,Eva Nilda Fuente Reina
srv-development-0137,10.113.92.249,12:2b:b1:61:30:ba,Windows Server 2022,2,2,Development,testing,Sebastian Aguado Peñas
srv-hr-0138,10.17.245.188,e8:0d:83:f3:d5:d3,Ubuntu Server 24.04,32,8,HR,development,Roque Tomás
srv-development-0139,10.150.215.66,24:dd:2e:94:a5:37,Ubuntu Server 24.04,16,4,Development,staging,Leopoldo Gimenez España
srv-operations-0140,10.155.178.73,36:48:cb:3e:d7:6c,Debian 12,2,4,Operations,staging,Fortunato Boada-Arnaiz
srv-management-0141,10.154.119.237,78:df:6a:59:c7:f4,Windows Server 2022,32,2,Management,development,Chus Andrea Rivero Prada
srv-hr-0142,10.18.204.44,78:b6:91:8d:f2:ff,Windows Server 2022,2,16,HR,development,Adalberto Mesa
srv-it-0143,10.94.199.2,06:d7:4b:ac:ea:27,Debian 12,64,4,IT,development,Reyna Belmonte Urrutia
srv-finance-0144,10.19.250.219,50:63:1e:85:51:30,Ubuntu Server 24.04,16,16,Finance,development,Anselmo Peiró Jerez
srv-development-0145,10.132.234.108,16:a9:70:78:fb:8f,Ubuntu Server 24.04,32,16,Development,testing,Marta Salvador-Raya
srv-finance-0146,10.78.152.39,68:5e:57:7a:18:fb,Ubuntu Server 22.04,2,8,Finance,staging,Raúl Peiró Mas
srv-finance-0147,10.47.38.61,dc:7a:ad:a6:45:e9,Debian 12,2,16,Finance,development,Eutimio Avilés Maestre
srv-security-0148,10.33.109.185,00:95:3c:5c:40:4c,Windows Server 2016,4,4,Security,staging,Teo Manjón-Bosch
srv-management-0149,10.238.231.73,2c:cd:40:f1:47:d2,Rocky Linux 9,8,2,Management,development,Buenaventura Llano Perales
srv-development-0150,10.178.210.140,ea:0a:a7:50:85:9a,Debian 12,64,2,Development,development,Bautista Vilalta
srv-security-0151,10.221.218.190,82:75:2a:58:9d:41,Debian 12,2,8,Security,testing,Ildefonso Jove Llano
srv-hr-0152,10.119.180.105,8a:30:a6:34:99:c2,Windows Server 2016,8,16,HR,testing,Dorotea Miró Martorell
srv-development-0153,10.129.72.94,82:10:65:c8:e2:ad,Windows Server 2022,64,4,Development,testing,Melchor Rey Pi
srv-it-0154,10.144.2.111,6a:f1:53:8a:e9:e7,Debian 12,4,16,IT,production,Omar Ledesma Valero
srv-security-0155,10.24.235.192,a4:4a:73:00:da:ca,Windows Server 2022,32,8,Security,testing,Priscila Ojeda Casas
srv-operations-0156,10.138.236.147,9a:e4:08:76:07:ca,Windows Server 2012,32,4,Operations,development,Rogelio Navas Rojas
srv-management-0157,10.8.187.85,1a:36:5d:76:80:90,Rocky Linux 9,8,4,Management,staging,Mario Vicens Carranza
srv-development-0158,10.135.221.98,fc:ee:5d:31:08:1d,Windows Server 2012,2,2,Development,staging,Obdulia Galiano-Castilla
srv-operations-0159,10.151.217.254,00:ef:41:95:22:4d,Windows Server 2012,4,4,Operations,testing,Rosendo Colomer Cobo
srv-management-0160,10.75.169.83,18:4e:60:bf:9e:2f,Rocky Linux 9,16,4,Management,staging,Juan Antonio Flavio Giménez Salom
srv-hr-0161,10.56.226.115,6c:11:5d:ad:99:0a,Rocky Linux 9,64,4,HR,production,Quique Salazar Rueda
srv-security-0162,10.231.121.5,3a:23:c5:cf:9e:d0,Windows Server 2012,64,8,Security,testing,Alcides Pizarro Cid
srv-management-0163,10.230.208.235,f6:9d:9f:fe:f0:7c,Windows Server 2019,64,8,Management,testing,Eloísa de Pi
srv-operations-0164,10.238.207.253,a6:e6:c3:17:ac:64,Debian 12,16,8,Operations,production,René Plana León
srv-development-0165,10.246.203.30,48:5f:48:ac:7c:c4,Ubuntu Server 22.04,32,8,Development,testing,Aitana Cabanillas Rivera
srv-operations-0166,10.206.16.208,7a:e0:3a:c7:56:c1,Ubuntu Server 22.04,4,16,Operations,testing,Eutimio Rivero Gordillo
srv-it-0167,10.57.184.14,ce:91:08:f4:67:f8,Ubuntu Server 22.04,16,8,IT,development,Bibiana Valencia Duque
srv-security-0168,10.147.85.127,9e:42:6a:f4:17:17,Ubuntu Server 22.04,8,4,Security,development,Yago Sáenz
srv-development-0169,10.82.21.60,9c:05:33:41:a0:50,Ubuntu Server 24.04,64,4,Development,staging,Ruy del Macías
srv-operations-0170,10.66.60.14,fc:f7:64:d2:5e:dd,Ubuntu Server 22.04,16,16,Operations,development,Eloísa Solera
srv-management-0171,10.121.168.231,74:6c:59:bc:16:2d,Ubuntu Server 22.04,4,4,Management,development,Severiano Cárdenas Alberdi
srv-operations-0172,10.184.241.120,ee:c5:1e:4b:7a:ed,Rocky Linux 9,8,16,Operations,testing,Virginia Bernarda Macías Sastre
srv-it-0173,10.34.210.144,c0:9a:4b:a2:66:2e,Debian 12,64,4,IT,development,Anselmo Salomón Bas Castellanos
srv-it-0174,10.170.5.122,28:76:af:01:15:0d,Windows Server 2012,64,4,IT,production,Graciana Luque Catalán
srv-finance-0175,10.178.248.98,04:08:12:e1:37:e1,Ubuntu Server 24.04,64,2,Finance,testing,Nélida Ayuso Bautista
srv-operations-0176,10.37.253.7,22:33:29:37:7b:82,Windows Server 2016,2,4,Operations,testing,Armida Izquierdo Morante
srv-it-0177,10.66.190.204,50:84:4e:da:04:dd,Rocky Linux 9,64,4,IT,testing,Buenaventura Maestre-Juan
srv-management-0178,10.166.241.18,6e:2f:4b:f2:57:28,Ubuntu Server 24.04,8,2,Management,testing,Raimundo Feliciano Montserrat Saura
srv-finance-0179,10.82.149.167,4c:3e:f5:7b:92:2c,Windows Server 2022,4,2,Finance,testing,Hortensia Lara Bravo
srv-finance-0180,10.74.125.140,c2:99:74:b7:b7:24,Windows Server 2022,32,8,Finance,development,Loreto García Zapata
srv-security-0181,10.193.19.207,90:a1:c4:aa:af:23,Windows Server 2019,2,8,Security,development,Eric Barceló Ojeda
srv-management-0182,10.133.112.68,de:01:6a:3f:59:e1,Windows Server 2019,16,2,Management,testing,Jordana Tirado Salinas
srv-development-0183,10.243.197.226,36:b6:72:87:7d:34,Windows Server 2016,4,16,Development,production,Marcia Seco Guillén
srv-finance-0184,10.9.168.231,24:c3:9d:b6:fb:c8,Rocky Linux 9,8,16,Finance,staging,Ramona Sanchez Rivas
srv-security-0185,10.217.101.58,d8:62:35:b6:3b:a6,Rocky Linux 9,4,8,Security,testing,Gabriel Isern-Ramón
srv-hr-0186,10.203.141.5,20:2c:b0:4d:bc:71,Ubuntu Server 24.04,8,8,HR,production,Rebeca Cerdán Bellido
srv-operations-0187,10.95.20.165,6e:bb:55:5f:52:fa,Windows Server 2019,2,2,Operations,staging,Florina Pelayo Ropero
srv-security-0188,10.110.219.198,64:6d:03:2d:f0:23,Windows Server 2019,4,8,Security,production,Jenaro Huguet Montenegro
srv-management-0189,10.207.195.168,12:6e:87:b5:f7:f5,Windows Server 2016,64,2,Management,testing,Rufina Mayoral Puga
srv-operations-0190,10.12.15.27,84:f4:30:da:dc:ca,Windows Server 2019,2,16,Operations,production,Rosaura del Talavera
srv-security-0191,10.74.86.202,52:81:83:bf:13:42,Windows Server 2016,32,2,Security,staging,Vicente Serna Pi
srv-management-0192,10.5.173.142,76:1d:ed:e4:cd:6c,Windows Server 2022,8,16,Management,production,Azahar Susana Cano Caballero
srv-operations-0193,10.37.9.174,9a:83:b9:67:e5:48,Rocky Linux 9,64,16,Operations,staging,Oriana Azcona
srv-development-0194,10.234.132.130,30:f7:ff:12:da:7a,Debian 12,8,16,Development,development,Olivia Adán Araujo
srv-hr-0195,10.155.6.102,dc:1a:2a:07:b4:ed,Windows Server 2016,64,8,HR,staging,Sonia Rocamora Canals
srv-finance-0196,10.9.172.83,3e:9e:1e:6c:8c:59,Windows Server 2016,16,8,Finance,development,Urbano Merino Cerro
srv-security-0197,10.44.81.40,44:6d:10:8c:a6:de,Ubuntu Server 24.04,64,2,Security,staging,Lucho Bilbao
srv-hr-0198,10.52.10.176,e2:ba:e8:c5:9e:07,Windows Server 2022,16,4,HR,development,Cristian Marcos Ugarte
srv-security-0199,10.51.205.10,0c:2f:b6:5c:91:9c,Debian 12,64,4,Security,development,Nilo Galván Cerdán
srv-development-0200,10.111.204.215,80:f4:0c:a1:04:0f,Windows Server 2022,2,8,Development,testing,Jennifer Ignacia Solera Pablo
srv-security-0201,10.15.116.35,d6:52:b3:e9:de:95,Ubuntu Server 22.04,16,2,Security,production,Azahara Rosa
srv-development-0202,10.133.196.43,d4:00:67:29:dd:25,Debian 12,4,16,Development,development,Dorotea Obdulia Jódar Vidal
srv-security-0203,10.194.105.245,84:d4:76:78:55:68,Rocky Linux 9,2,8,Security,production,Jose Catalán Rosa
srv-operations-0204,10.205.15.136,82:d6:cf:f4:9f:02,Ubuntu Server 24.04,4,16,Operations,staging,Cristóbal Espejo Galván
srv-operations-0205,10.59.85.235,0a:a3:99:02:e2:cf,Windows Server 2016,4,2,Operations,testing,Cesar del Contreras
srv-it-0206,10.15.222.7,cc:45:c6:dc:5b:80,Debian 12,32,4,IT,staging,Jenaro del Bravo
srv-it-0207,10.170.218.198,ee:61:64:45:66:6f,Windows Server 2019,16,2,IT,development,Hector de Herranz
srv-development-0208,10.176.28.35,96:05:2d:07:5f:e3,Rocky Linux 9,4,8,Development,testing,Marcia Feliu
srv-operations-0209,10.166.226.176,06:c5:56:53:91:72,Ubuntu Server 24.04,64,2,Operations,development,Reinaldo Garcés
srv-management-0210,10.48.95.32,b8:35:97:59:62:33,Windows Server 2012,8,4,Management,staging,Amarilis Oriana Mur Mate
srv-management-0211,10.228.123.4,0c:bf:33:12:d0:cf,Rocky Linux 9,64,8,Management,development,Amarilis Valentina Carranza Mendoza
srv-operations-0212,10.153.147.225,d4:df:35:5e:80:62,Rocky Linux 9,16,2,Operations,development,Sancho Jaume Armas
srv-operations-0213,10.101.43.158,60:5e:41:8e:66:db,Ubuntu Server 24.04,16,2,Operations,development,Marisol Bustamante Anaya
srv-hr-0214,10.236.181.40,74:f3:88:61:06:99,Windows Server 2022,64,4,HR,testing,Luisina Teófila Alcalde Acero
srv-finance-0215,10.96.46.100,54:50:db:01:4e:c3,Rocky Linux 9,16,2,Finance,testing,Benito Fábregas Tejera
